,Hs,Tp,Dir,P,PPer,Px,Py,Ppar,Hsp,ponto,time
3187,1.1806640625,9.84615421295166,163.8271484375,6.767754745607225,-0.2157854701538393,-1.8850637360959372,6.499926077083119,0.06668137741672434,1.163422085539657,26,2023-01-28 17:00:00
3188,1.18359375,9.752381324768066,163.7880859375,6.733515302129089,-0.21010534863909958,-1.8799354102727592,6.465761453781696,0.06492612333855499,1.1604753596806,26,2023-01-28 18:00:00
3189,1.189453125,9.660377502441406,163.9248046875,6.733466515431222,-0.22616273548561905,-1.8644880134171866,6.4701820501634355,0.06988812875938226,1.160471155645949,26,2023-01-28 19:00:00
3190,1.1953125,9.660377502441406,163.6025390625,6.799969484971383,-0.1901675142673387,-1.9196242086908595,6.523390827932201,0.05876499368664793,1.1661877623240078,26,2023-01-28 20:00:00
3191,1.2001953125,9.660377502441406,163.1533203125,6.855638262026398,-0.13798944686682124,-1.986843786899489,6.561419644118125,0.0426410841262466,1.1709516012223902,26,2023-01-28 21:00:00
3192,1.2080078125,9.660377502441406,162.822265625,6.945180343864257,-0.09966854585692575,-2.051167327524667,6.635378105525995,0.03079927447442881,1.178573743459802,26,2023-01-28 22:00:00
3193,1.220703125,9.660377502441406,162.501953125,7.091925328044093,-0.06212968171250033,-2.1323525107863603,6.763762091343575,0.019199127504268988,1.1909597245955963,26,2023-01-28 23:00:00
3194,1.2373046875,12.487804412841797,162.037109375,9.81504778399781,-0.006357017331633852,-3.0269700469394123,9.336627621207345,0.001964426389010941,1.401074429428916,26,2023-01-29 00:00:00
3195,1.2509765625,12.487804412841797,161.2451171875,10.033153299298023,0.13218488217336866,-3.2258610803319474,9.500420275841192,-0.040847374991020945,1.41655591483697,26,2023-01-29 01:00:00
3196,1.263671875,12.337348937988281,159.845703125,10.07633567133441,0.3787766614495034,-3.4717962308435215,9.459343079353186,-0.11704842546050255,1.4196010475717755,26,2023-01-29 02:00:00
3197,1.27734375,12.190476417541504,157.974609375,10.13697151786171,0.711600574163088,-3.8015410892242665,9.397152595381172,-0.2198966706233643,1.4238659710704311,26,2023-01-29 03:00:00
3198,1.2890625,11.77011489868164,156.2724609375,9.875778817728284,0.9855830637210938,-3.9738933164148245,9.04097224674671,-0.3045619160579447,1.4054023493454308,26,2023-01-29 04:00:00
3199,1.298828125,11.77011489868164,155.0400390625,10.025978621831705,1.2149050687649678,-4.230810769137981,9.089581264347244,-0.37542631280063915,1.416049336840472,26,2023-01-29 05:00:00
3200,1.3037109375,11.636363983154297,153.958984375,9.960218146490226,1.3932547991354278,-4.372679622254423,8.949056846774083,-0.430539410427301,1.411397757295244,26,2023-01-29 06:00:00
3201,1.3076171875,11.636363983154297,152.2724609375,10.019994265271448,1.6930096518460571,-4.6619782237139535,8.869399309856874,-0.5231687540612446,1.4156266644332076,26,2023-01-29 07:00:00
3202,1.3095703125,11.636363983154297,150.091796875,10.049949388370488,2.0737495496884573,-5.011023852792402,8.71155110503026,-0.6408238529311276,1.4177411180021893,26,2023-01-29 08:00:00
3203,1.3095703125,11.636363983154297,147.806640625,10.049949388370488,2.4641975892016816,-5.354393925648061,8.504819127870473,-0.761478932561095,1.4177411180021893,26,2023-01-29 09:00:00
3204,1.3125,9.225225448608398,145.107421875,7.818447257979775,2.271870715737358,-4.472461671349915,6.412893584343762,-0.7020466601856189,1.2504756901259435,26,2023-01-29 10:00:00
3205,1.3134765625,9.225225448608398,142.298828125,7.830086180459706,2.63963569982728,-4.788436139274935,6.1952505141851875,-0.8156922902054369,1.2514061035858588,26,2023-01-29 11:00:00
3206,1.3154296875,9.481481552124023,138.5859375,8.07738261263035,3.2097348073114604,-5.343155887750827,6.057622886084671,-0.9918626028960384,1.271013974166323,26,2023-01-29 12:00:00
3207,1.3173828125,11.01075267791748,132.802734375,9.524060086930179,4.646007937616961,-6.987778486230763,6.471373298367744,-1.4356954087245413,1.3801492735882,26,2023-01-29 13:00:00
3208,1.3193359375,11.01075267791748,125.763671875,9.552321377296225,5.6465414501677955,-7.751083556724361,5.582790287287145,-1.744877267544409,1.3821954548685382,26,2023-01-29 14:00:00
3209,1.3173828125,10.893616676330566,119.7470703125,9.408019169223136,6.325995892199928,-8.16826978733157,4.66799671913298,-1.9548402370358855,1.3717156534226134,26,2023-01-29 15:00:00
3210,1.3076171875,9.394495010375977,116.66015625,7.90632580931216,5.623678197648281,-7.06575395555559,3.5475496955710306,-1.7378121339691932,1.2574836626622359,26,2023-01-29 16:00:00
3211,1.2900390625,9.142857551574707,115.67578125,7.484337714061398,5.413115472829379,-6.745336058158465,3.2428000987771384,-1.6727446736182567,1.2234653827600843,26,2023-01-29 17:00:00
3212,1.2724609375,9.061946868896484,114.3583984375,7.216178900114314,5.332357486333481,-6.573818968187704,2.9762631086566564,-1.647789083359522,1.2013474851277888,26,2023-01-29 18:00:00
3213,1.2607421875,9.061946868896484,111.17578125,7.083875904428251,5.491502606258344,-6.605548344738028,2.55891166214621,-1.6969676299881435,1.19028365564081,26,2023-01-29 19:00:00
3214,1.2578125,8.98245620727539,106.29296875,6.988179768216546,5.773406612608176,-6.70753256608817,1.9605262935695873,-1.7840807587326248,1.1822165426195446,26,2023-01-29 20:00:00
3215,1.2626953125,8.90434741973877,100.779296875,6.9804702689663065,6.118247457869356,-6.8572991348660235,1.3055319800327498,-1.890642440272951,1.1815642402312543,26,2023-01-29 21:00:00
3216,1.2763671875,8.90434741973877,95.28515625,7.132451170226153,6.551504644683866,-7.102128234726486,0.6569887618226519,-2.024526273933716,1.1943576658795432,26,2023-01-29 22:00:00
3217,1.29296875,8.90434741973877,90.4736328125,7.319199790298933,6.9420383258460685,-7.318949715785494,0.06050312483980008,-2.1452078182886436,1.209892539881037,26,2023-01-29 23:00:00
3218,1.314453125,8.90434741973877,85.744140625,7.564456882057269,7.347859035960763,-7.543598657360612,-0.5613619306389978,-2.2706133143833935,1.2299964944712054,26,2023-01-30 00:00:00
3219,1.3447265625,8.90434741973877,80.181640625,7.916906437498131,7.836327236730511,-7.800949942589102,-1.3500324193583024,-2.4215582896329995,1.2583247941209879,26,2023-01-30 01:00:00
3220,1.37890625,8.90434741973877,74.583984375,8.324478296742086,8.316014057700398,-8.024973031672806,-2.2128594067075724,-2.5697896692903877,1.29030835824171,26,2023-01-30 02:00:00
3221,1.3994140625,8.90434741973877,70.501953125,8.573931564483008,8.571001138087428,-8.082241192215788,-2.8617616573167592,-2.6485850104760305,1.3094984967141434,26,2023-01-30 03:00:00
3222,1.4150390625,8.90434741973877,66.8173828125,8.766462974342733,8.730624354858136,-8.058613290301999,-3.451032442312016,-2.6979112971549757,1.324119554597902,26,2023-01-30 04:00:00
3223,1.4150390625,8.90434741973877,64.58984375,8.766462974342733,8.693248250129555,-7.91838873304051,-3.761647638067547,-2.6863614456103058,1.324119554597902,26,2023-01-30 05:00:00
3224,1.4072265625,8.82758617401123,63.154296875,8.594305605456931,8.4920852341168,-7.66806190787493,-3.8810971924168434,-2.624198655022645,1.3110534394491271,26,2023-01-30 06:00:00
3225,1.3984375,8.752137184143066,61.7197265625,8.413999746195758,8.2789259382742,-7.409709168930055,-3.9864271924689842,-2.558328810098285,1.297227793889397,26,2023-01-30 07:00:00
